scr_selcode,sub_id3,sub_name,scr_credit,scj_scr_mso,scr_examid,scr_examfn,scr_exambf,cls_name,scr_precnt,scr_acptcnt,scr_remarks,unt_ls,cls_id,sub_id,scr_dup,scr_ldl,scr_english
3625,MCAE422,電腦輔助結構分析,3.0,選修,否,否,否,機電四甲,24.0,23.0,,4001,CE04141,53957,001,課堂教學,N
1070,MCAE417,奈米材料與奈米元件概論,3.0,選修,否,否,否,機電四乙,60.0,23.0,,4001,CE04142,17352,001,課堂教學,N
1071,MCAE5906,學期專業實習(三),3.0,選修,否,否,否,機電四乙,60.0,11.0,限機電系大學部學生加選，請至機電系辦理選課。,4001,CE04142,28546,001,課堂教學,N
1072,MCAE5905,學期專業實習(二),3.0,選修,否,否,否,機電四乙,60.0,11.0,限機電系大學部學生加選，請至機電系辦理選課。,4001,CE04142,28547,001,課堂教學,N
1073,MCAE5904,學期專業實習(一),3.0,選修,否,否,否,機電四乙,60.0,11.0,限機電系大學部學生加選，請至機電系辦理選課。,4001,CE04142,28548,001,課堂教學,N
1074,MCAE425,振動學,3.0,選修,否,否,否,機電四乙,36.0,13.0,,4001,CE04142,36450,001,課堂教學,N
1075,MCAE486,新科技之進化與應用(二),2.0,選修,否,否,否,機電四乙,60.0,42.0,,4001,CE04142,45123,001,課堂教學,N
1076,MCAE464,量測與信號處理,3.0,選修,否,否,否,機電四乙,60.0,15.0,,4001,CE04142,50650,001,課堂教學,N
1077,MCAE437,精密機械設計與製造實務,3.0,選修,否,否,否,機電四乙,60.0,26.0,,4001,CE04142,65312,001,課堂教學,N
1078,MCAE5912,學年專業實習(六),3.0,選修,否,否,否,機電四乙,60.0,1.0,限機電系大學部學生加選，請至機電系辦理選課。,4001,CE04142,67924,001,課堂教學,N
1079,MCAE5910,學年專業實習(四),3.0,選修,否,否,否,機電四乙,60.0,1.0,限機電系大學部學生加選，請至機電系辦理選課。,4001,CE04142,67928,001,課堂教學,N
1080,MCAE5911,學年專業實習(五),3.0,選修,否,否,否,機電四乙,60.0,1.0,限機電系大學部學生加選，請至機電系辦理選課。,4001,CE04142,67929,001,課堂教學,N
3625,MCAE422,電腦輔助結構分析,3.0,選修,否,否,否,機電四乙,24.0,23.0,,4001,CE04142,53957,001,課堂教學,N
1070,MCAE417,奈米材料與奈米元件概論,3.0,選修,否,否,否,機電四丙,60.0,23.0,,4001,CE04143,17352,001,課堂教學,N
1071,MCAE5906,學期專業實習(三),3.0,選修,否,否,否,機電四丙,60.0,11.0,限機電系大學部學生加選，請至機電系辦理選課。,4001,CE04143,28546,001,課堂教學,N
1072,MCAE5905,學期專業實習(二),3.0,選修,否,否,否,機電四丙,60.0,11.0,限機電系大學部學生加選，請至機電系辦理選課。,4001,CE04143,28547,001,課堂教學,N
1073,MCAE5904,學期專業實習(一),3.0,選修,否,否,否,機電四丙,60.0,11.0,限機電系大學部學生加選，請至機電系辦理選課。,4001,CE04143,28548,001,課堂教學,N
1074,MCAE425,振動學,3.0,選修,否,否,否,機電四丙,36.0,13.0,,4001,CE04143,36450,001,課堂教學,N
1075,MCAE486,新科技之進化與應用(二),2.0,選修,否,否,否,機電四丙,60.0,42.0,,4001,CE04143,45123,001,課堂教學,N
1076,MCAE464,量測與信號處理,3.0,選修,否,否,否,機電四丙,60.0,15.0,,4001,CE04143,50650,001,課堂教學,N
1077,MCAE437,精密機械設計與製造實務,3.0,選修,否,否,否,機電四丙,60.0,26.0,,4001,CE04143,65312,001,課堂教學,N
