scr_selcode,sub_name,scr_credit,scj_scr_mso,cls_name,scr_period,scr_precnt,scr_acptcnt,scr_remarks
762,體育(二),1,必修,人工智慧一學位學程,(四)06-07 體館202(第二舞蹈室) 吳佩伊,60,59,課程內容：瑜珈，上課地點：體育館2F第二舞蹈室
763,企業分析與系統思考,3,必修,人工智慧一學位學程,"(二)02-04 科航706 楊朝仲,董正玫",60,55, 
764,基礎程式設計(二),3,必修,人工智慧一學位學程,(四)02-04 圖213_程式實作 周永振,60,58, 
765,基礎程式設計實習(二),0,必修,人工智慧一學位學程,(五)03-04 圖213_程式實作 周永振,60,58, 
766,電腦科學概論,3,必修,人工智慧一學位學程,(一)02-04 資電410 林子煒,60,60, 
767,AI基礎數學(二),3,必修,人工智慧一學位學程,(一)06-08 圖213_程式實作 周永振,60,58, 
768,AI基礎數學實習(二),0,必修,人工智慧一學位學程,(五)01-02 圖213_程式實作 周永振,60,58, 
3488,國防科技,1,必修,人工智慧一學位學程,"(三)01-02 行政二館205(視聽室) 歐陽德林,李聖義",60,169, 
769,班級活動,0,必修,人工智慧二學位學程,(一)09     商408 林子煒,60,49,
770,大數據分析與應用,3,必修,人工智慧二學位學程,"(四)06-08 圖212_資訊素養 謝金育,林子煒",50,48, 
771,雲端計算,3,必修,人工智慧二學位學程,"(四)02-04 圖212_資訊素養 林子煒,劉智華",50,44, 
772,機器學習,3,必修,人工智慧二學位學程,(二)02-04 圖213_程式實作 周永振,50,47, 
773,世界經濟與科技產業,3,必修,人工智慧二學位學程,(一)02-04 忠208 葉守禮,60,48, 
2510,班級活動,0,必修,國際生不分系一年級,(二)10     理109 唐永立,50,44,僅限全校國際生大一不分系學士班學生選課
2511,體育(二),1,必修,國際生不分系一年級,(四)06-07 體131B(田徑場) 黃嘉君,60,45,課程內容：足球/游泳，上課地點：田徑場/游泳池
2512,中文思辨與表達(二),2,必修,國際生不分系一年級,(五)02-03 人B116A 王惠鈴,40,28,僅限全校國際生大一不分系學士班學生選課
2513,中文思辨與表達(二),2,必修,國際生不分系一年級,(五)03-04 人B117A 林碧慧,40,17,僅限全校國際生大一不分系學士班學生選課
2514,中文思辨與表達(二)實習,0,必修,國際生不分系一年級,(五)04     人B116A,40,28,僅限全校國際生大一不分系學士班學生選課
